fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,oakiness_index,fruitiness_factor
7.4,0.7,0.0,1.8271997058770864,0.03876809470620771,10.805062824467758,34.0,0.9978,3.51,0.56,9.449671415301124,0.17170998897368817,6.614769990710786
7.8,0.88,0.0,2.5817103558895163,0.14173131870389608,24.79496425427158,67.0,0.9968,3.2,0.68,9.786173569882882,0.5298338889620703,8.611832741496936
7.8,0.76,0.04,2.437487641914818,0.1105175536829914,15.073918049470157,54.0,0.997,3.26,0.65,9.86476885381007,0.28998739264414186,7.497224328895653
11.2,0.28,0.56,1.8354035820875463,0.11754448641841722,17.050702027213536,60.0,0.998,3.16,0.58,9.952302985640804,0.628905144923615,2.7866448359794256
7.4,0.7,0.0,1.8200807993349746,0.0982289855800854,10.994260463492596,34.0,0.9978,3.51,0.56,9.376584662527666,0.11793867487423348,6.563609263769366
7.4,0.66,0.0,1.7517256477817968,0.2028865813313393,12.860455149524492,40.0,0.9978,3.51,0.56,9.376586304305082,0.6549411045673216,6.188546960841355
7.9,0.6,0.06,1.5046671391741289,-0.026231638073879696,14.929208905932592,59.0,0.9964,3.3,0.46,9.55792128155074,0.2832965279977022,5.734752768930444
7.3,0.65,0.0,1.2122670315994795,-0.002699513845853138,14.97372532523135,21.0,0.9946,3.39,0.47,10.076743472915291,0.00024293443451273156,6.5498832573949395
7.8,0.58,0.02,2.162467845846956,-0.004265944527082413,8.840410603142589,18.0,0.9968,3.36,0.57,9.453052561406505,0.12693605767417637,5.482770485615773
7.5,0.5,0.36,6.132307927311603,0.154019181186261,16.926097134197676,102.0,0.9978,3.35,0.8,10.554256004358596,0.9336153778350941,5.277128002179298
6.7,0.58,0.08,1.7747646497873713,0.18703985883950636,15.065233033817668,65.0,0.9959,3.28,0.54,9.153658230718753,0.8673546391153578,5.3091217738168766
7.5,0.5,0.36,6.070818873108445,0.11612253193185082,17.14273053642892,102.0,0.9978,3.35,0.8,10.453427024642973,0.23360903203623684,5.226713512321487
5.6,0.615,0.0,1.4436809191303344,0.2073493666889928,15.958056524734145,59.0,0.9943,3.58,0.52,9.924196227156603,0.7783719045454912,6.103380679701311
7.8,0.61,0.29,1.688310977714716,-0.003804086737638074,9.07564883543161,29.0,0.9974,3.26,1.56,8.90867197553422,0.6085715931739742,5.434289905075874
8.9,0.62,0.18,3.7922162802987196,0.3427224111551137,51.808593992941255,145.0,0.9986,3.16,0.88,9.027508216748696,0.9709047114498695,5.597055094384192
8.9,0.62,0.19,3.8819520086409374,0.3223238621712259,51.06594512411136,148.0,0.9986,3.17,0.93,9.143771247075902,0.3736056595340591,5.66913817318706
8.5,0.28,0.56,2.119310756784486,0.16556219972457467,34.919605158527254,103.0,0.9969,3.3,0.75,10.398716887966557,0.6814606125171713,2.9116407286306365
8.1,0.56,0.28,1.7298752908365687,0.5461798908771061,16.030734561670798,56.0,0.9968,3.11,1.28,9.331424733259528,0.06353572242391858,5.225597850625336
7.4,0.59,0.08,4.324820894990482,-0.0796623207677774,5.975224758176029,29.0,0.9974,3.38,0.5,8.909197592447878,0.39624734681640594,5.2564265795442475
7.9,0.32,0.51,1.7573642403794456,0.28855518637373484,17.132041400978384,56.0,0.9969,3.04,1.08,9.05876962986647,0.9638176611881805,2.8988062815572704
8.9,0.22,0.48,1.9148445709196755,0.0034696539318047614,28.912556435166007,60.0,0.9968,3.39,0.53,9.546564876892155,0.5389808744501206,2.100244272916274
7.6,0.39,0.31,2.3113270410537763,0.15414793237573432,23.062760629756184,71.0,0.9982,3.52,0.65,9.677422369951346,0.2878795033348446,3.774194724281025
7.9,0.43,0.21,1.4561722021682635,0.000985926039785437,9.972049253670347,37.0,0.9966,3.17,0.91,9.506752820468792,0.12027096312860686,4.08790371280158
8.5,0.49,0.11,2.39192289345752,0.15974951493374856,8.984169452199033,67.0,0.9968,3.17,0.53,9.257525181378655,0.7035283401815304,4.536187338875541
6.9,0.4,0.14,2.3331855914461004,0.22205361439967136,20.98161461068408,40.0,0.9968,3.43,0.63,9.64556172754748,0.6448560434297268,3.8582246910189926
6.3,0.39,0.16,1.5873297776217545,0.14952029000839995,10.915432689550588,23.0,0.9955,3.34,0.56,9.311092258970987,0.3739387136037746,3.6313259809986853
7.6,0.41,0.24,1.908004806571465,0.10837510236615011,3.9985901034093327,11.0,0.9962,3.28,0.59,9.38490064225777,0.9509413518658343,3.8478092633256855
7.9,0.43,0.21,1.5552678104341249,0.007212665909925073,9.993735177787817,37.0,0.9966,3.17,0.91,9.537569801834568,0.022202812987850318,4.101155014788864
